iter	RMSE
186	3.943748602
187	3.93861641
188	3.933922575
189	3.929224608
190	3.923402314
191	3.916786632
192	3.913486896
193	3.905973137
194	3.902668445
195	3.898994767
196	3.894434427
197	3.888626117
198	3.880237237
199	3.87340061
200	3.867762002
201	3.860706864
202	3.856036369
203	3.847035421
204	3.841577691
205	3.833964951
206	3.824883621
207	3.818995813
208	3.815408114
209	3.808061136
210	3.799190751
211	3.791957642
212	3.789057536
213	3.783630961
214	3.779870438
215	3.776102988
216	3.772072233
217	3.763960586
218	3.75753021
219	3.75230816
220	3.743478359
221	3.740483773
222	3.734233935
223	3.72870492
224	3.724611295
225	3.716516008
226	3.712039801
227	3.706690874
228	3.703672626
229	3.701447421
230	3.694644746
231	3.69160069
232	3.687966268
233	3.678491699
234	3.668026504
235	3.66340238
236	3.662825493
237	3.654302367
238	3.650288727
239	3.647998072
240	3.646409836
241	3.637489857
242	3.63402434
243	3.627427224
244	3.621812183
245	3.612827469
246	3.603611224
247	3.596940576
248	3.590854263
249	3.585930538
250	3.57946469
251	3.576842443
252	3.572325301
253	3.567699742
254	3.560217202
255	3.556605704
256	3.553980666
257	3.553365611
258	3.551925276
259	3.546546753
260	3.544227328
261	3.541366576
262	3.537372822
263	3.530985074
264	3.522728108
265	3.518909285
266	3.51406647
267	3.508154502
268	3.507443278
269	3.502877289
270	3.496190104
271	3.49263413
272	3.487633975
273	3.482740111
274	3.475169419
275	3.471610476
276	3.464280328
277	3.462648539
278	3.45936795
279	3.455178534
280	3.446798198
281	3.4439173
282	3.439993622
283	3.435936203
284	3.428315966
285	3.424211697
286	3.41806062
287	3.412807215
288	3.409936403
289	3.408874627
290	3.40052767
291	3.398187261
292	3.396090278
293	3.391951289
294	3.386633538
295	3.384768698
296	3.382352135
297	3.375163209
298	3.373271007
299	3.368256903
300	3.36346413
301	3.362332725
302	3.35665564
303	3.355741685
304	3.349698572
305	3.345870414
306	3.33920588
307	3.33323784
308	3.327372402
309	3.324241668
310	3.321805552
311	3.320005976
312	3.317603892
313	3.313171889
314	3.308505427
315	3.305623656
316	3.301411537
317	3.296600795
318	3.294624815
319	3.293543488
320	3.290008403
321	3.288685687
322	3.282690902
323	3.276555671
324	3.269380179
325	3.264584587
326	3.262268071
327	3.258482869
328	3.252930332
329	3.250279377
330	3.248449409
331	3.246543627
332	3.242399512
333	3.240885659
334	3.237726937
335	3.236954733
336	3.231393926
337	3.228539306
338	3.227310898
339	3.22684174
340	3.22477305
341	3.218263259
342	3.213690758
343	3.208162992
344	3.203501679
345	3.198063906
346	3.192551468
347	3.189185172
348	3.1847285
349	3.178229874
350	3.172973928
351	3.16744882
352	3.161320032
353	3.160588466
354	3.155699175
355	3.151891718
356	3.15067432
357	3.14887468
358	3.148322706
359	3.145852105
360	3.145406934
361	3.144437892
362	3.142708221
363	3.136011294
364	3.131151273
365	3.130048847
366	3.124941681
367	3.119426354
368	3.116705664
369	3.114550212
370	3.110452192
371	3.107684284
372	3.103130905
373	3.098078135
374	3.093834568
375	3.093308603
376	3.088897794
377	3.087703447
378	3.084329132
379	3.082556278
380	3.0810967
381	3.075750467
382	3.07029024
383	3.068873387
384	3.062465647
385	3.060772508
386	3.060573283
387	3.053283662
388	3.052172401
389	3.049128448
390	3.04795776
391	3.043310467
392	3.038340588
393	3.034637387
394	3.033361588
395	3.029767763
396	3.025733152
397	3.021795291
398	3.021709275
399	3.021185631
400	3.017608943
401	3.014153519
402	3.013986999
403	3.010206656
404	3.004890384
405	3.004358887
406	3.00049856
407	2.998244725
408	2.994070703
409	2.993375005
410	2.988327558
411	2.983847701
412	2.980657733
413	2.979923502
414	2.97753992
415	2.975897102
416	2.975610667
417	2.971816925
418	2.967121164
419	2.965415062
420	2.960380073
421	2.95858817
422	2.95684347
423	2.955351569
424	2.953364692
425	2.949590645
426	2.949443123
427	2.945675945
428	2.945534761
429	2.943104417
430	2.939287659
431	2.933770964
432	2.932706727
433	2.929978766
434	2.92630071
435	2.922057847
436	2.918868577
437	2.913325408
438	2.909980139
439	2.902883373
440	2.902510656
441	2.899037708
442	2.89486694
443	2.893239041
444	2.891777357
445	2.888939264
446	2.886296661
447	2.882094972
448	2.876777352
449	2.872112549
450	2.870714051
451	2.87056203
452	2.869639927
453	2.868681684
454	2.868539185
455	2.868433476
456	2.863296671
457	2.861858705
458	2.859652124
459	2.855713565
460	2.851575347
461	2.847373727
462	2.8439735
463	2.839273096
464	2.833443854
465	2.830436453
466	2.827318155
467	2.822451426
468	2.81765279
469	2.815175937
470	2.813836672
471	2.811258463
472	2.810661294
473	2.807210471
474	2.802147326
475	2.797737359
476	2.79421441
477	2.794070832
478	2.7895391
479	2.786975632
480	2.786108331
481	2.782808607
482	2.779090443
483	2.774435075
484	2.768838074
485	2.766315285
486	2.761474659
487	2.756330678
488	2.751943009
489	2.749716607
490	2.74678601
491	2.744445236
492	2.74210566
493	2.738784079
494	2.736011636
495	2.732879503
496	2.727173281
497	2.725037073
498	2.721573886
499	2.720827383
500	2.720063387
501	2.718296644
502	2.713376674
503	2.709899394
504	2.707235532
505	2.70331197
506	2.698777774
507	2.694200599
508	2.693437441
509	2.689028386
510	2.685166841
511	2.684878428
512	2.682320945
513	2.681990573
514	2.680305041
515	2.676972616
516	2.676270221
517	2.676080558
518	2.672145419
519	2.669195158
520	2.664160928
521	2.660343249
522	2.65457283
523	2.651386576
524	2.650610547
525	2.647060393
526	2.644307209
527	2.639628943
528	2.637010132
529	2.632488103
530	2.631504653
531	2.629819047
532	2.625585412
533	2.623404271
534	2.620663895
535	2.617060219
536	2.612726528
537	2.612237913
538	2.607361782
539	2.604171639
540	2.601325416
541	2.601052475
542	2.600295925
543	2.595277052
544	2.590541524
545	2.589802082
546	2.585477723
547	2.582239384
548	2.578802665
549	2.574200222
550	2.57078432
551	2.567639742
552	2.566959506
553	2.562035831
554	2.557289852
555	2.553025671
556	2.549960805
557	2.546904922
558	2.543456857
559	2.541818186
560	2.539503704
561	2.536282162
562	2.532722148
563	2.528522877
564	2.52601888
565	2.525253969
566	2.52208734
567	2.52143845
568	2.518577281
569	2.515509592
570	2.514286986
571	2.511201832
572	2.50965615
573	2.50560162
574	2.502326526
575	2.501619308
576	2.498092274
577	2.492910095
578	2.490438585
579	2.488817052
580	2.483354503
581	2.480511424
582	2.477553691
583	2.474640111
584	2.472343947
585	2.470534562
586	2.467701796
587	2.465609702
588	2.465418255
589	2.46248449
590	2.456974073
591	2.451893667
592	2.448294095
593	2.443720909
594	2.439866311
595	2.435474281
596	2.431864939
597	2.42868001
598	2.423905584
599	2.421230732
600	2.418393977
601	2.41677341
602	2.413278019
603	2.41097248
604	2.408877033
605	2.404709218
606	2.402348856
607	2.399222181
608	2.396221651
609	2.392894422
610	2.389864411
611	2.38642122
612	2.383515876
613	2.379562552
614	2.376534651
615	2.37283907
616	2.369119124
617	2.364555102
618	2.362476933
619	2.359969969
620	2.356432648
621	2.352601529
622	2.349677404
623	2.347581102
624	2.345491394
625	2.342322811
626	2.338629949
627	2.336972789
628	2.335252999
629	2.331560719
630	2.32915459
631	2.324953265
632	2.321857087
633	2.318580552
634	2.316284887
635	2.312989702
636	2.31035672
637	2.307486379
638	2.305830464
639	2.302881644
640	2.301666443
641	2.299966699
642	2.29682098
643	2.294689371
644	2.291565715
645	2.288567785
646	2.286007457
647	2.284277686
648	2.282947836
649	2.279997279
650	2.277713308
651	2.275097003
652	2.271725315
653	2.270518153
654	2.268439654
655	2.263619284
656	2.261323581
657	2.256718244
658	2.253581122
659	2.251282761
660	2.247278356
661	2.24466785
662	2.241058559
663	2.238322809
664	2.236670728
665	2.232488283
666	2.22990828
667	2.225425613
668	2.22073702
669	2.218705023
670	2.215489335
671	2.211687103
672	2.208493766
673	2.20550134
674	2.20329859
675	2.201080493
676	2.199923431
677	2.197187973
678	2.195703919
679	2.193585562
680	2.191539426
681	2.188110625
682	2.185310826
683	2.18177277
684	2.181159793
685	2.178809533
686	2.176743537
687	2.172926474
688	2.168655645
689	2.166124674
690	2.163588766
691	2.162128555
692	2.159974246
693	2.159705287
694	2.157790786
695	2.154374819
696	2.153263343
697	2.150991567
698	2.149882185
699	2.149783065
700	2.147740386
701	2.144434442
702	2.140915299
703	2.13701408
704	2.136089028
705	2.133874681
706	2.132843976
707	2.130537437
708	2.127131999
709	2.124587228
710	2.123880865
711	2.122212604
712	2.118283822
713	2.116080783
714	2.113270137
715	2.110598551
716	2.107400383
717	2.104630826
718	2.10222243
719	2.099292706
720	2.098649016
721	2.09758128
722	2.097360095
723	2.094246355
724	2.091989335
725	2.090827022
726	2.087797459
727	2.086565777
728	2.08381943
729	2.08243448
730	2.079071274
731	2.077840171
732	2.07485518
733	2.073254173
734	2.070263757
735	2.067417355
736	2.06383665
737	2.061539702
738	2.06033133
739	2.057737175
740	2.056016468
741	2.052575689
742	2.051281223
743	2.047840745
744	2.045419397
745	2.044562678
746	2.041339354
747	2.039280224
748	2.036355844
749	2.034144199
750	2.033118967
751	2.03032731
752	2.029900816
753	2.028236322
754	2.02539977
755	2.023864888
756	2.023322672
757	2.020168369
758	2.017080377
759	2.014513289
760	2.00989938
761	2.007019573
762	2.005533477
763	2.002604973
764	2.000597671
765	1.998046883
766	1.99643956
767	1.994314443
768	1.992960903
769	1.990146509
770	1.988454482
771	1.985042429
772	1.981912427
773	1.978021608
774	1.9764778
775	1.975297753
776	1.974326018
777	1.974249436
778	1.971786313
779	1.971710379
780	1.967572438
781	1.96459884
782	1.963014461
783	1.958468529
784	1.956257347
785	1.95280031
786	1.950895928
787	1.948881828
788	1.945863521
789	1.944907616
790	1.942283199
791	1.941846483
792	1.941453605
793	1.938724933
794	1.935993295
795	1.934720628
796	1.931832704
797	1.927825243
798	1.926629121
799	1.924390146
800	1.921652768
801	1.919437793
802	1.917079059
803	1.913874772
804	1.91243998
805	1.909653537
806	1.906857394
807	1.902681485
808	1.899876304
809	1.898494827
810	1.896552328
811	1.895681787
812	1.892019416
813	1.889217167
814	1.888929591
815	1.888245264
816	1.885699116
817	1.884710358
818	1.882069644
819	1.880283589
820	1.879225563
821	1.87768289
822	1.876241968
823	1.87458421
824	1.871269126
825	1.868224065
826	1.867608799
827	1.866579471
828	1.866053546
829	1.864399299
830	1.861675065
831	1.859244201
832	1.856840806
833	1.855431295
834	1.85525782
835	1.854174961
836	1.851437795
837	1.849953036
838	1.849037808
839	1.847718616
840	1.846001906
841	1.843974623
842	1.841859872
843	1.841037049
844	1.839416738
845	1.838309763
846	1.835295711
847	1.833912692
848	1.83220768
849	1.831189508
850	1.828507937
851	1.825969076
852	1.824138167
853	1.822271854
854	1.818003869
855	1.816655215
856	1.814944938
857	1.812024695
858	1.810516818
859	1.809076656
860	1.806331011
861	1.804367159
862	1.801994423
863	1.799957166
864	1.798545769
865	1.798009174
866	1.796014475
867	1.794065373
868	1.79158646
869	1.789559106
870	1.787168026
871	1.785709503
872	1.782363026
873	1.782294982
874	1.779909449
875	1.778979858
876	1.77679756
877	1.775726831
878	1.773280539
879	1.771619171
880	1.769274395
881	1.767473256
882	1.766587075
883	1.764644466
884	1.762238145
885	1.761025381
886	1.760591922
887	1.759964168
888	1.758603437
889	1.757144486
890	1.754811215
891	1.752143418
892	1.750386473
893	1.747951478
894	1.747599094
895	1.745778588
896	1.742784715
897	1.74142824
898	1.740061497
899	1.737464196
900	1.73652666
901	1.735007714
902	1.732581681
903	1.728915085
904	1.728497772
905	1.725879527
906	1.723414646
907	1.722352671
908	1.720985006
909	1.719116948
910	1.716476324
911	1.71506681
912	1.71303136
913	1.711132527
914	1.708595147
915	1.70767213
916	1.705572043
917	1.703405556
918	1.701037622
919	1.699303702
920	1.6973602
921	1.696839962
922	1.695097082
923	1.692461289
924	1.68984281
925	1.687061234
926	1.685469698
927	1.683010056
928	1.68014077
929	1.676851518
930	1.674869425
931	1.673595365
932	1.67225492
933	1.671036473
934	1.669887502
935	1.667729192
936	1.664192369
937	1.662976401
938	1.66075346
939	1.658870563
940	1.658580323
941	1.657220262
942	1.655780365
943	1.653245218
944	1.651077713
945	1.650521601
946	1.649565359
947	1.648197248
948	1.647157713
949	1.64492412
950	1.643621976
951	1.640141956
952	1.637231035
953	1.636024146
954	1.634765822
955	1.633464923
956	1.6313115
957	1.629676257
958	1.629641212
959	1.627544771
960	1.626554524
961	1.625975624
962	1.624285445
963	1.622913512
964	1.621254824
965	1.619064637
966	1.618436102
967	1.616479916
968	1.614474112
969	1.611898584
970	1.610518941
971	1.607918861
972	1.605555666
973	1.603689222
974	1.601145468
975	1.59871786
976	1.595465269
977	1.594277059
978	1.593278697
979	1.589941615
980	1.588105149
981	1.586161175
982	1.585109449
983	1.582148225
984	1.579800151
985	1.577014192
986	1.575733022
987	1.574410781
988	1.572782661
989	1.570853823
990	1.569629032
991	1.56739884
992	1.56449263
993	1.563216486
994	1.560617016
995	1.558191223
996	1.556229967
997	1.554994567
998	1.552561429
999	1.550223734
